Type,Record Key,Field,MySQL Value,PostgreSQL Value,Status
MISMATCH,97,updated_at,2025-10-28 05:34:08,2025-09-05 02:23:17,Value mismatch
MISMATCH,104,updated_at,2025-11-04 07:54:45,2025-09-23 12:25:38,Value mismatch
MISMATCH,112,updated_at,2025-10-08 18:17:57,2023-05-17 13:55:18,Value mismatch
MISMATCH,112,plan_id,1,,Value mismatch
MISMATCH,114,updated_at,2025-10-15 18:50:33,2025-08-22 03:28:02,Value mismatch
MISMATCH,114,plan_id,1,2,Value mismatch
MISMATCH,188,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,189,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,190,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,191,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,192,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,193,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,195,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,196,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,197,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,198,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,199,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,200,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,201,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,202,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,203,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,204,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,205,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,206,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,207,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,208,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,209,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,211,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,212,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,213,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,214,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,215,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,216,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,217,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,218,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,219,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,220,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,221,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,222,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,223,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,224,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,225,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,226,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,227,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,228,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,229,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,230,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,231,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,232,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,233,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,234,custom_message,,You are not allowed to access this page.,Value mismatch
MISMATCH,235,custom_message,,You are not allowed to access this page.,Value mismatch
